tweeter_screen_name,AGAINST,FOR,NOT_AGAINST,tweeter_label
myerschrismyer1,1.0,0.0,2.0,NOT_AGAINST
emilysheffield,0.0,0.0,3.0,NOT_AGAINST
basilewitch,5.0,0.0,6.0,NOT_AGAINST
DeanCowcher,3.0,0.0,2.0,AGAINST
sonya_annie,3.0,0.0,2.0,AGAINST
OliverSteinme16,2.0,0.0,0.0,AGAINST
GM_RayKeene,2.0,0.0,0.0,AGAINST
Howwee,11.0,0.0,6.0,AGAINST
bramble__jam,1.0,0.0,0.0,AGAINST
Sheilamayparke1,3.0,0.0,1.0,AGAINST
John27454952,3.0,0.0,0.0,AGAINST
darlingvivien,13.0,0.0,8.0,AGAINST
becky10002,0.0,0.0,1.0,NOT_AGAINST
JoRichardsKent,1.0,0.0,1.0,NOT_AGAINST
RosettaTickner,8.0,0.0,5.0,AGAINST
Janet42957897,10.0,0.0,2.0,AGAINST
KarlJiAllen,7.0,0.0,8.0,NOT_AGAINST
neerajsanatani1,1.0,0.0,0.0,AGAINST
Morris2906,2.0,0.0,9.0,NOT_AGAINST
527_thatch,1.0,0.0,0.0,AGAINST
philrevis,1.0,0.0,0.0,AGAINST
Susanmerryweath,5.0,0.0,1.0,AGAINST
parthkopi,1.0,0.0,0.0,AGAINST
Short2Cjs,0.0,0.0,1.0,NOT_AGAINST
Alfiebengal,1.0,0.0,1.0,NOT_AGAINST
boblister_poole,14.0,0.0,7.0,AGAINST
Mal_DuBois,5.0,0.0,0.0,AGAINST
moore241128,1.0,0.0,0.0,AGAINST
LodgeServiceUK,1.0,0.0,0.0,AGAINST
lindiloola,0.0,0.0,2.0,NOT_AGAINST
tamdek,0.0,0.0,1.0,NOT_AGAINST
FrankBullitt39,3.0,0.0,3.0,NOT_AGAINST
PAL362,5.0,0.0,7.0,NOT_AGAINST
AlisonAjt,1.0,0.0,0.0,AGAINST
DavidNerd,0.0,0.0,1.0,NOT_AGAINST
Alwof,0.0,0.0,1.0,NOT_AGAINST
thegingerpig,11.0,0.0,14.0,NOT_AGAINST
LBC,9.0,0.0,9.0,NOT_AGAINST
LizardEyeSue,6.0,0.0,4.0,AGAINST
CandyNimrod,4.0,0.0,3.0,AGAINST
Shakermakermatt,1.0,0.0,0.0,AGAINST
Peter86628983,12.0,0.0,9.0,AGAINST
ianbeach2,1.0,0.0,0.0,AGAINST
AmuAlan,1.0,0.0,2.0,NOT_AGAINST
GillJames54,20.0,0.0,41.0,NOT_AGAINST
Archer64234817,1.0,0.0,2.0,NOT_AGAINST
AnnaBritannia,3.0,0.0,2.0,AGAINST
lorraine_teuten,0.0,0.0,8.0,NOT_AGAINST
porknpicklepie,9.0,0.0,9.0,NOT_AGAINST
trwill10_tom,4.0,0.0,6.0,NOT_AGAINST
DnellStephen,16.0,0.0,7.0,AGAINST
BikerGary17,3.0,0.0,2.0,AGAINST
elibo_17,7.0,0.0,3.0,AGAINST
Dredekia,0.0,0.0,2.0,NOT_AGAINST
aAw6WFLEArS9hVL,3.0,0.0,2.0,AGAINST
Baconsarni1,4.0,0.0,4.0,NOT_AGAINST
kevin0u,2.0,0.0,3.0,NOT_AGAINST
SusanHu25307477,12.0,0.0,9.0,AGAINST
pramod_abhms,1.0,0.0,0.0,AGAINST
lizshep73,3.0,0.0,1.0,AGAINST
anandsharma333,1.0,0.0,0.0,AGAINST
froghound01,1.0,0.0,0.0,AGAINST
AlfieTurner2,5.0,0.0,16.0,NOT_AGAINST
EnglishBob7777,1.0,0.0,0.0,AGAINST
plddly,1.0,0.0,2.0,NOT_AGAINST
lifeisgoodtake2,0.0,0.0,1.0,NOT_AGAINST
mrhazzers,1.0,0.0,0.0,AGAINST
brianpaddick,1.0,0.0,2.0,NOT_AGAINST
James_Thorburn,16.0,0.0,17.0,NOT_AGAINST
andrewamg,3.0,0.0,3.0,NOT_AGAINST
antiwokeuk,0.0,0.0,4.0,NOT_AGAINST
marsman1258,4.0,0.0,2.0,AGAINST
d5_rss,7.0,0.0,4.0,AGAINST
AtlasB2B,6.0,0.0,4.0,AGAINST
a_shipl12,7.0,0.0,7.0,NOT_AGAINST
Peter_Clark8,10.0,0.0,13.0,NOT_AGAINST
heliman_david,7.0,0.0,4.0,AGAINST
thepoohs15,0.0,0.0,1.0,NOT_AGAINST
soozywooozy,1.0,0.0,0.0,AGAINST
Sigbertganser,0.0,0.0,1.0,NOT_AGAINST
bywirenews,0.0,0.0,1.0,NOT_AGAINST
gplondon,8.0,0.0,2.0,AGAINST
heather_venter,3.0,0.0,1.0,AGAINST
ChristinaDonn11,8.0,0.0,7.0,AGAINST
AndyWells7,12.0,0.0,5.0,AGAINST
DavidHawker17,2.0,0.0,1.0,AGAINST
slightlymad1,1.0,0.0,0.0,AGAINST
PolygonHouse,0.0,0.0,3.0,NOT_AGAINST
markrmayhew,1.0,0.0,0.0,AGAINST
smeemartin,3.0,0.0,1.0,AGAINST
ray_walker4,0.0,0.0,2.0,NOT_AGAINST
ROmuyaaye,1.0,0.0,0.0,AGAINST
LeslieH24367191,8.0,0.0,11.0,NOT_AGAINST
Q3j1u9haIfEACRd,1.0,0.0,0.0,AGAINST
gariusmacus,0.0,0.0,1.0,NOT_AGAINST
Daily_Express,15.0,0.0,7.0,AGAINST
Carla_littlerob,1.0,0.0,1.0,NOT_AGAINST
2ndWinston,1.0,0.0,1.0,NOT_AGAINST
James2Squ4,0.0,0.0,1.0,NOT_AGAINST
martinlewis74,0.0,0.0,1.0,NOT_AGAINST
AlexFerguson50,4.0,0.0,1.0,AGAINST
Jamie_Harte71,1.0,0.0,0.0,AGAINST
burnssl,0.0,0.0,6.0,NOT_AGAINST
JackieChild2,0.0,0.0,2.0,NOT_AGAINST
LBCNews,4.0,0.0,4.0,NOT_AGAINST
jonatha36469630,2.0,0.0,4.0,NOT_AGAINST
jodie05625116,1.0,0.0,2.0,NOT_AGAINST
LegTeddys,1.0,0.0,0.0,AGAINST
bigD17952310,2.0,0.0,0.0,AGAINST
mattrhucs,0.0,0.0,1.0,NOT_AGAINST
Gauci10P,2.0,0.0,0.0,AGAINST
SuzaEnver,1.0,0.0,5.0,NOT_AGAINST
h24news_uk,5.0,1.0,1.0,AGAINST
marionste,1.0,0.0,2.0,NOT_AGAINST
shivanisharmaaa,0.0,0.0,1.0,NOT_AGAINST
sirose79,1.0,0.0,2.0,NOT_AGAINST
DalbyTerrance,1.0,0.0,0.0,AGAINST
viewsfromleft,1.0,0.0,3.0,NOT_AGAINST
mayavikrushna,1.0,0.0,0.0,AGAINST
Abqaic70,1.0,0.0,0.0,AGAINST
SolitudeDude1,1.0,0.0,0.0,AGAINST
EdwardLeftEU,0.0,0.0,2.0,NOT_AGAINST
moganney,0.0,0.0,1.0,NOT_AGAINST
makeshkumardur2,1.0,0.0,0.0,AGAINST
PathakMitra,1.0,0.0,0.0,AGAINST
DharmaCalling,1.0,0.0,0.0,AGAINST
AnkitSh51773951,1.0,0.0,0.0,AGAINST
yogirajshakya,1.0,0.0,0.0,AGAINST
AmitabhPoddar1,1.0,0.0,0.0,AGAINST
Vijay40612217,1.0,0.0,0.0,AGAINST
BabbarKamal,1.0,0.0,0.0,AGAINST
SanjayK19921599,1.0,0.0,0.0,AGAINST
TheAllseen,1.0,0.0,0.0,AGAINST
Kishore36414788,1.0,0.0,0.0,AGAINST
shaandilya_,1.0,0.0,0.0,AGAINST
Indic_e,1.0,0.0,0.0,AGAINST
abhirj87,1.0,0.0,0.0,AGAINST
harish3912,1.0,0.0,0.0,AGAINST
SurenderKD29,1.0,0.0,0.0,AGAINST
snobfielder,1.0,0.0,0.0,AGAINST
Archana071114,1.0,0.0,0.0,AGAINST
