screen_name,degree,betweenness,eigenvector,opinions,community_id
myerschrismyer1,3,0.0,4.2726558450008996e-20,NOT_AGAINST,0
LeslieH24367191,575,0.000375400473671721,0.00036722156728325806,NOT_AGAINST,0
emilysheffield,24,1.9446059373008337e-06,5.2153790217677325e-05,NOT_AGAINST,6
NaheedMajeed,6,7.721146877818789e-08,1.7302991859560435e-05,NOT_AGAINST,6
standardnews,522,4.851587654409178e-06,0.00020039564697298213,NOT_AGAINST,6
basilewitch,14,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Short2Cjs,9,0.0,8.887124157601866e-18,NOT_AGAINST,0
DeanCowcher,9,0.0,4.2726558450008996e-20,NOT_AGAINST,0
sonya_annie,5,0.0,4.2726558450008996e-20,AGAINST,0
OliverSteinme16,4,3.004228057914947e-07,1.0254374028002163e-18,AGAINST,0
Kalimeralynn,6,9.616961406162417e-07,1.380067837935291e-17,NOT_AGAINST,0
Bravescott69,8,2.1753356435971883e-07,1.1835256690652496e-17,NOT_AGAINST,0
GM_RayKeene,2,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Howwee,8,0.0,4.2726558450008996e-20,AGAINST,0
bramble__jam,1,0.0,4.2726558450008996e-20,AGAINST,535
UncleTrash,2,0.0,2.0081482471504226e-18,NONE,535
Sheilamayparke1,6,0.0,4.2726558450008996e-20,AGAINST,0
boblister_poole,131,2.1464860740905586e-06,0.00016124462107770085,AGAINST,0
John27454952,6,2.849805120358571e-07,9.353259172458177e-07,AGAINST,3
linmeitalks,13,1.4960307011143436e-06,5.2000720837644845e-06,AGAINST,5
darlingvivien,17,0.0,4.2726558450008996e-20,AGAINST,0
becky10002,1,0.0,4.2726558450008996e-20,AGAINST,3
LBC,292,6.304433412812948e-07,9.422669328243786e-05,NOT_AGAINST,3
JoRichardsKent,3,0.0,4.2726558450008996e-20,AGAINST,3
NickFerrariLBC,63,9.089895642523048e-08,0.00010882080207710076,AGAINST,3
Nic,2,0.0,2.974436707187179e-05,NONE,3
RosettaTickner,11,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Janet42957897,11,0.0,4.2726558450008996e-20,AGAINST,0
KarlJiAllen,12,0.0,4.2726558450008996e-20,NOT_AGAINST,0
neerajsanatani1,1,0.0,4.2726558450008996e-20,AGAINST,9
LeoKearse,635,0.0,1.1500646555649894e-06,AGAINST,9
Morris2906,13,0.0,4.2726558450008996e-20,NOT_AGAINST,1
527_thatch,1,0.0,4.2726558450008996e-20,AGAINST,1
SadiqKhan,1296,0.0,0.001754895016611942,NOT_AGAINST,1
philrevis,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Susanmerryweath,5,0.0,4.2726558450008996e-20,NOT_AGAINST,0
parthkopi,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Alfiebengal,2,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Mal_DuBois,151,3.144076021598374e-05,4.83546486232149e-07,AGAINST,0
moore241128,2,0.0,4.2726558450008996e-20,AGAINST,2
Bigjob67643000,1,0.0,1.0254374028002163e-18,NONE,2
JuliaHB1,36,4.7730726153788875e-08,9.929652183782131e-17,AGAINST,2
lindiloola,2,0.0,4.2726558450008996e-20,NOT_AGAINST,3
tamdek,1,0.0,4.2726558450008996e-20,AGAINST,3
FrankBullitt39,13,1.8937700399567881e-06,0.00011162719474692351,AGAINST,1
PAL362,16,0.0,4.2726558450008996e-20,NOT_AGAINST,0
AlisonAjt,1,0.0,4.2726558450008996e-20,AGAINST,0
Keir_Starmer,185,0.0,0.00012052975414230566,NONE,0
DavidNerd,1,0.0,4.2726558450008996e-20,AGAINST,3
Alwof,1,0.0,4.2726558450008996e-20,AGAINST,3
thegingerpig,27,7.847492917637642e-07,1.0254374028002163e-18,AGAINST,0
LizardEyeSue,8,0.0,4.2726558450008996e-20,NOT_AGAINST,0
CandyNimrod,8,0.0,4.2726558450008996e-20,NOT_AGAINST,0
RockerProg,4,4.21153466062843e-09,2.990859091500628e-18,AGAINST,406
Shakermakermatt,2,0.0,4.2726558450008996e-20,AGAINST,3
Peter86628983,18,0.0,4.2726558450008996e-20,NOT_AGAINST,0
ianbeach2,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
AmuAlan,4,0.0,4.2726558450008996e-20,NOT_AGAINST,0
GillJames54,69,1.7216519718501207e-06,1.380067837935291e-17,NOT_AGAINST,0
Archer64234817,3,9.826914208133004e-09,1.0254374028002163e-18,NOT_AGAINST,7
Conservatives,26,0.0,6.934709807912765e-06,NONE,7
