Clean_MessageText,hashtags,Clean_MessageText_refined
seriously injured stabbing teen girl woman charged police crime hortonandwellington knife…,"['#crime', '#hortonandwellington', '#knife']",seriously injured stabbing teen girl woman charged police hortonandwellington knife…
’ six years ’ sadiq khan lambasted knife crime surge sadiq khan grilled calle…,"['#sadiq', '#khan', '#knife', '#crime']",’ six years ’ sadiq khan lambasted knife surge sadiq khan grilled calle…
’ six years ’ lambasted knife crime surge khanage continues w…,['#khanage'],’ six years ’ lambasted knife crime surge continues w…
knifecrime fallen low total five years,"['#knifecrime', '#london']",fallen low total five years
knifecrime fallen low total five years,"['#knifecrime', '#london']",fallen low total five years
’ six years ’ lambasted knife crime surge khanage continues und…,['#khanage'],’ six years ’ lambasted knife crime surge continues und…
crime city hit night violence leaving dead hospital hit three shocking k…,"['#london', '#crime']",city hit night violence leaving dead hospital hit three shocking k…
knifecrime ‘ perfect storm ’ ’ capital dangerous ever violent teenage deaths fell…,['#knifecrime'],‘ perfect storm ’ ’ capital dangerous ever violent teenage deaths fell…
get job sadiqkhan savaged tory mp failing keep safe,"['#sadiqkhan', '#london']",get job sadiqkhan savaged tory mp failing keep safe
get job sadiqkhan savaged tory mp failing keep safe,"['#sadiqkhan', '#london']",get job sadiqkhan savaged tory mp failing keep safe
get job sadiqkhan savaged tory mp failing keep safe,"['#sadiqkhan', '#london']",get job sadiqkhan savaged tory mp failing keep safe
get job sadiqkhan savaged tory mp failing keep safe,"['#sadiqkhan', '#london']",get job sadiqkhan savaged tory mp failing keep safe
happened beautiful city khaned knifecrime stopandsearch,"['#london', '#khaned', '#knifecrime', '#stopandsearch']",happened beautiful city khaned
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
well prime minister need much stop search especially labourcontrolled knifecrime…,['#knifecrime'],well prime minister need much stop search especially labourcontrolled knifecrime…
fashion week londonistan londonfashionweek shitbrains carbon islam muslim e…,"['#londonistan', '#london', '#londonfashionweek', '#shit4brains', '#carbon', '#islam', '#muslim']",fashion week londonistan londonfashionweek shitbrains carbon islam muslim e…
fashion week londonistan londonfashionweek shitbrains carbon islam muslim e…,"['#londonistan', '#london', '#londonfashionweek', '#shit4brains', '#carbon', '#islam', '#muslim']",fashion week londonistan londonfashionweek shitbrains carbon islam muslim e…
fashion week londonistan londonfashionweek shitbrains carbon islam muslim…,"['#londonistan', '#london', '#londonfashionweek', '#shit4brains', '#carbon', '#islam', '#muslim']",fashion week londonistan londonfashionweek shitbrains carbon islam muslim…
massive loss hasnt become mayor knifecrime drugs talkradio,"['#london', '#knifecrime', '#drugs', '#talkradio']",massive loss hasnt become mayor drugs talkradio
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
sevenyearold boy took knife primary school wanted stab another child afterschool c…,"['#knife', '#london', '#primary', '#stab', '#child', '#school']",sevenyearold boy took knife primary school wanted stab another child afterschool c…
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner knifecr…,"['#charliehebdo', '#speakerscorner', '#knifecr']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecr…
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo freespeech knifecrime…,"['#charliehebdo', '#freespeech', '#knifecrime']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecrime…
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo speakerscorner…,"['#charliehebdo', '#speakerscorner']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today speakerscorner…
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo freespeech knifecrime…,"['#charliehebdo', '#freespeech', '#knifecrime']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today knifecrime…
woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today charliehebdo freespeech…,"['#charliehebdo', '#freespeech']",woman wearing charlie hebdo tshirt stabbed speakers corner hyde park today freespeech…
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
’ lot answer agree ✅✅✅ knifecrime,"['#london', '#knifecrime']",’ lot answer agree ✅✅✅
