lsoa_code,lsoa_name,total_19,population,borough,total_17,total_19_1000,total_17_1000,pct_change,pct_change_abs,crime_cohort,change_cohort
E01000006,Barking and Dagenham 016A,27,2094,Barking and Dagenham,9.0,12.893982808022923,4.2979942693409745,1.9999999999999996,1.9999999999999996,lower_crime,top_50
E01000007,Barking and Dagenham 015A,130,2502,Barking and Dagenham,105.0,51.95843325339728,41.96642685851319,0.2380952380952381,0.2380952380952381,top_250,lower_change
E01000008,Barking and Dagenham 015B,23,1597,Barking and Dagenham,24.0,14.402003757044458,15.028177833437695,-0.041666666666666664,0.041666666666666664,lower_crime,lower_change
E01000009,Barking and Dagenham 016B,52,1929,Barking and Dagenham,37.0,26.956972524624156,19.180922757905652,0.40540540540540526,0.40540540540540526,lower_crime,lower_change
E01000010,Barking and Dagenham 015C,211,3579,Barking and Dagenham,190.0,58.95501536742107,53.08745459625594,0.11052631578947371,0.11052631578947371,top_250,lower_change
E01000011,Barking and Dagenham 016C,13,1726,Barking and Dagenham,24.0,7.531865585168019,13.904982618771726,-0.4583333333333333,0.4583333333333333,lower_crime,lower_change
E01000012,Barking and Dagenham 015D,24,2343,Barking and Dagenham,28.0,10.243277848911651,11.950490823730261,-0.14285714285714296,0.14285714285714296,lower_crime,lower_change
E01000013,Barking and Dagenham 013A,49,1855,Barking and Dagenham,49.0,26.41509433962264,26.41509433962264,0.0,0.0,lower_crime,lower_change
E01000014,Barking and Dagenham 013B,31,1661,Barking and Dagenham,26.0,18.663455749548465,15.653220951234196,0.19230769230769232,0.19230769230769232,lower_crime,lower_change
E01000015,Barking and Dagenham 009A,17,2452,Barking and Dagenham,29.0,6.933115823817292,11.827079934747145,-0.41379310344827586,0.41379310344827586,lower_crime,lower_change
E01000016,Barking and Dagenham 009B,17,1724,Barking and Dagenham,18.0,9.860788863109049,10.440835266821345,-0.05555555555555554,0.05555555555555554,lower_crime,lower_change
E01000017,Barking and Dagenham 009C,10,1538,Barking and Dagenham,19.0,6.501950585175552,12.35370611183355,-0.47368421052631576,0.47368421052631576,lower_crime,lower_change
E01000018,Barking and Dagenham 009D,14,1718,Barking and Dagenham,17.0,8.149010477299186,9.89522700814901,-0.17647058823529407,0.17647058823529407,lower_crime,lower_change
E01000019,Barking and Dagenham 023A,11,1563,Barking and Dagenham,21.0,7.037747920665387,13.435700575815739,-0.47619047619047616,0.47619047619047616,lower_crime,lower_change
E01000020,Barking and Dagenham 023B,18,1930,Barking and Dagenham,20.0,9.32642487046632,10.362694300518134,-0.10000000000000002,0.10000000000000002,lower_crime,lower_change
E01000021,Barking and Dagenham 008A,25,1756,Barking and Dagenham,25.0,14.236902050113896,14.236902050113896,0.0,0.0,lower_crime,lower_change
E01000022,Barking and Dagenham 008B,20,1433,Barking and Dagenham,14.0,13.956734124214934,9.769713886950454,0.4285714285714286,0.4285714285714286,lower_crime,lower_change
E01000023,Barking and Dagenham 008C,37,3853,Barking and Dagenham,87.0,9.602906825849987,22.579807941863482,-0.5747126436781609,0.5747126436781609,lower_crime,lower_change
E01000024,Barking and Dagenham 008D,14,1546,Barking and Dagenham,14.0,9.055627425614489,9.055627425614489,0.0,0.0,lower_crime,lower_change
E01000025,Barking and Dagenham 008E,9,1676,Barking and Dagenham,16.0,5.369928400954654,9.54653937947494,-0.43749999999999994,0.43749999999999994,lower_crime,lower_change
E01000027,Barking and Dagenham 001A,27,1846,Barking and Dagenham,32.0,14.626218851570965,17.33477789815818,-0.15624999999999997,0.15624999999999997,lower_crime,lower_change
E01000028,Barking and Dagenham 001B,21,1729,Barking and Dagenham,27.0,12.145748987854251,15.615962984384037,-0.2222222222222222,0.2222222222222222,lower_crime,lower_change
E01000029,Barking and Dagenham 001C,14,1764,Barking and Dagenham,5.0,7.936507936507937,2.834467120181406,1.8,1.8,lower_crime,top_50
E01000030,Barking and Dagenham 001D,40,2396,Barking and Dagenham,34.0,16.69449081803005,14.190317195325543,0.17647058823529416,0.17647058823529416,lower_crime,lower_change
E01000031,Barking and Dagenham 002A,21,1810,Barking and Dagenham,28.0,11.602209944751381,15.469613259668508,-0.24999999999999997,0.24999999999999997,lower_crime,lower_change
E01000032,Barking and Dagenham 002B,49,1879,Barking and Dagenham,37.0,26.077700904736563,19.691325172964344,0.3243243243243243,0.3243243243243243,lower_crime,lower_change
E01000033,Barking and Dagenham 006A,18,1598,Barking and Dagenham,18.0,11.264080100125156,11.264080100125156,0.0,0.0,lower_crime,lower_change
E01000034,Barking and Dagenham 003A,16,1640,Barking and Dagenham,18.0,9.75609756097561,10.975609756097562,-0.1111111111111112,0.1111111111111112,lower_crime,lower_change
E01000035,Barking and Dagenham 010A,54,1841,Barking and Dagenham,41.0,29.33188484519283,22.270505160239,0.3170731707317072,0.3170731707317072,lower_crime,lower_change
E01000036,Barking and Dagenham 010B,17,1458,Barking and Dagenham,27.0,11.659807956104252,18.51851851851852,-0.3703703703703704,0.3703703703703704,lower_crime,lower_change
E01000037,Barking and Dagenham 003B,22,1912,Barking and Dagenham,28.0,11.506276150627615,14.644351464435147,-0.2142857142857143,0.2142857142857143,lower_crime,lower_change
E01000038,Barking and Dagenham 003C,7,1425,Barking and Dagenham,15.0,4.912280701754386,10.526315789473685,-0.5333333333333333,0.5333333333333333,lower_crime,lower_change
E01000039,Barking and Dagenham 003D,12,1710,Barking and Dagenham,12.0,7.017543859649122,7.017543859649122,0.0,0.0,lower_crime,lower_change
E01000040,Barking and Dagenham 019A,26,1793,Barking and Dagenham,17.0,14.500836586726157,9.481316229782488,0.5294117647058822,0.5294117647058822,lower_crime,top_250
E01000041,Barking and Dagenham 017A,18,1818,Barking and Dagenham,11.0,9.900990099009901,6.050605060506051,0.6363636363636362,0.6363636363636362,lower_crime,top_250
E01000042,Barking and Dagenham 017B,17,2001,Barking and Dagenham,31.0,8.495752123938031,15.492253873063468,-0.45161290322580644,0.45161290322580644,lower_crime,lower_change
E01000043,Barking and Dagenham 019B,14,1518,Barking and Dagenham,17.0,9.22266139657444,11.198945981554678,-0.1764705882352942,0.1764705882352942,lower_crime,lower_change
E01000044,Barking and Dagenham 016D,15,1992,Barking and Dagenham,15.0,7.530120481927711,7.530120481927711,0.0,0.0,lower_crime,lower_change
E01000045,Barking and Dagenham 017C,35,1802,Barking and Dagenham,48.0,19.42286348501665,26.637069922308545,-0.27083333333333326,0.27083333333333326,lower_crime,lower_change
E01000046,Barking and Dagenham 017D,10,1900,Barking and Dagenham,16.0,5.2631578947368425,8.421052631578947,-0.37499999999999994,0.37499999999999994,lower_crime,lower_change
E01000048,Barking and Dagenham 021B,13,1044,Barking and Dagenham,8.0,12.452107279693486,7.662835249042145,0.625,0.625,lower_crime,top_250
E01000049,Barking and Dagenham 021C,25,1921,Barking and Dagenham,20.0,13.014055179593962,10.41124414367517,0.25,0.25,lower_crime,lower_change
E01000050,Barking and Dagenham 019C,24,1966,Barking and Dagenham,26.0,12.207527975584943,13.224821973550355,-0.07692307692307693,0.07692307692307693,lower_crime,lower_change
E01000051,Barking and Dagenham 021D,8,963,Barking and Dagenham,14.0,8.307372793354102,14.537902388369679,-0.4285714285714286,0.4285714285714286,lower_crime,lower_change
E01000052,Barking and Dagenham 019D,31,2258,Barking and Dagenham,22.0,13.728963684676705,9.743135518157661,0.4090909090909091,0.4090909090909091,lower_crime,lower_change
E01000053,Barking and Dagenham 020A,23,1604,Barking and Dagenham,37.0,14.339152119700747,23.06733167082294,-0.3783783783783784,0.3783783783783784,lower_crime,lower_change
E01000054,Barking and Dagenham 018A,22,1951,Barking and Dagenham,19.0,11.276268580215275,9.738595592004101,0.15789473684210528,0.15789473684210528,lower_crime,lower_change
E01000055,Barking and Dagenham 018B,31,1707,Barking and Dagenham,23.0,18.16051552431166,13.473930872876391,0.3478260869565219,0.3478260869565219,lower_crime,lower_change
E01000056,Barking and Dagenham 018C,37,1675,Barking and Dagenham,33.0,22.08955223880597,19.70149253731343,0.1212121212121214,0.1212121212121214,lower_crime,lower_change
E01000057,Barking and Dagenham 012A,35,1536,Barking and Dagenham,25.0,22.786458333333332,16.276041666666668,0.3999999999999998,0.3999999999999998,lower_crime,lower_change
